,country,manager,delivery_method,vendor_terms,transport_mode,order_date,expected_date,actual_date,recorded_date,product_category,product_type,supplier,product_feature,product_name,product_brand,dosage,dosage_form,units_per_pack,total_quantity,total_value,pack_price,unit_price,factory_location,priority_status,total_weight,shipping_cost,insurance_cost,delivery_status,order_to_delivery_days,shipping_cost_per_weight,item_quantity(%)
18,Vietnam,PMO - US,Direct Drop,EXW,Air,2012-07-25,2012-11-12,2012-11-12,2012-11-12,ARV,Adult,CIPLA LIMITED,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,525,3465.0,6.6,0.11,"Cipla, Goa, India",True,34.0,807.47,4.86,early_delivery,110,23.749117647058824,0.0
2682,Kenya,PMO - US,Direct Drop,EXW,Air,2009-11-18,2010-02-16,2010-02-19,2010-02-19,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,150/300mg,Test kit,100,1,80.0,80.0,0.8,Inverness Japan,True,1028.0,10083.69,0.17,delayed,93,9.809036964980546,0.0
2683,Vietnam,PMO - US,Direct Drop,EXW,Air,2013-05-03,2014-01-09,2014-01-09,2014-01-09,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,11092,74871.0,6.75,0.11,Mylan (formerly Matrix) Nashik,True,957.0,1869.41,92.62,early_delivery,251,1.9534064785788925,0.01
2684,Zambia,PMO - US,Direct Drop,EXW,Air,2014-08-19,2015-05-12,2015-05-12,2015-05-14,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,30/50/6mg,Test kit,100,6280,502400.0,80.0,0.8,"Alere Medical Co., Ltd.",True,2548.0,28709.52,516.47,early_delivery,266,11.267472527472528,0.01
2685,Haiti,PMO - US,Direct Drop,EXW,Air,2012-01-06,2012-06-12,2012-06-12,2012-06-12,ARV,Pediatric,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 30/50/6mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,30/50/6mg,Chewable/dispersible tablet - FDC,60,298,685.4,2.3,0.04,"Cipla, Goa, India",True,21.0,304.62,0.96,early_delivery,158,14.505714285714285,0.0
2686,South Sudan,PMO - US,Direct Drop,EXW,Air,2013-02-22,2013-08-16,2013-08-16,2013-08-16,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100mg,Test kit,100,90,8010.0,89.0,0.89,"Alere Medical Co., Ltd.",True,39.0,1434.98,9.91,early_delivery,175,36.79435897435898,0.0
2687,Mozambique,PMO - US,Direct Drop,FCA,Air,2014-10-28,2015-04-15,2015-04-15,2015-04-15,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 60 Tabs",Ritonavir,Norvir,100mg,Tablet,60,400,2740.0,6.85,0.11,ABBVIE Ludwigshafen Germany,True,62.0,642.99,3.22,early_delivery,169,10.370806451612903,0.0
2688,Burundi,PMO - US,Direct Drop,EXW,Air,2013-02-20,2013-06-10,2013-06-10,2013-06-10,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,600mg,Test kit,100,1468,117440.0,80.0,0.8,"Alere Medical Co., Ltd.",True,638.0,12922.07,145.27,early_delivery,110,20.254028213166144,0.0
2689,Burundi,PMO - US,Direct Drop,EXW,Air,2012-02-17,2012-06-01,2012-06-01,2012-06-01,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak Dipstick Assay Kit, 30 Tests","HIV 1/2, Stat-Pak Dipstick Assay Kit",Stat-Pak,600mg,Test kit,30,305,7777.5,25.5,0.85,Chembio Diagnostics Sys. Inc.,True,34.0,836.8,10.9,early_delivery,105,24.61176470588235,0.0
2690,Haiti,PMO - US,Direct Drop,EXW,Air,2011-11-09,2012-01-30,2012-01-30,2012-01-30,MRDT,Malaria,Premier Medical Corporation Ltd.,"Malaria Antigen P.f Kit, 30 x 1 Test","Malaria Antigen P.f Kit, 30 x 1 Test",Generic,600mg,Test kit,30,3,49.5,16.5,0.55,Premier Medical Corporation,True,1.0,969.55,0.07,early_delivery,82,969.55,0.0
2691,Vietnam,PMO - US,Direct Drop,EXW,Air,2014-02-06,2014-07-29,2014-07-29,2014-08-06,ARV,Adult,HETERO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,5300,18550.0,3.5,0.12,Hetero Unit III Hyderabad IN,True,2922.0,5616.02,19.07,early_delivery,173,1.921978097193703,0.0
